date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,GDP_dollar,adj_price,USD,EUR,GBP,JPY,CNY
7/1/2011,ARG,ARS,Argentina,20,4.1325,4.83968542,9138.177,3.149756552,1.01089,0.47526,0.8497,0.90626,0.94622
7/1/2011,AUS,AUD,Australia,4.56,0.922381589,4.943724001,55589.549,5.792526187,0.11695,-0.18056,0.02742,0.05883,0.08103
7/1/2011,BRA,BRL,Brazil,9.5,1.5416,6.162428646,10816.487,3.245241067,1.48516,0.8232,1.28595,1.35584,1.40524
7/1/2011,GBR,GBP,Britain,2.39,0.614137444,3.891637,36119.846,4.684831459,0.08714,-0.20243,0,0.03058,0.05218
7/1/2011,CAN,CAD,Canada,4.73,0.94585,5.000792938,46214.914,5.259172711,0.24443,-0.08704,0.14468,0.17968,0.20441
7/1/2011,CHL,CLP,Chile,1850,462.75,3.997839006,11827.958,3.302786942,0.58414,0.16218,0.45716,0.50171,0.53319
7/1/2011,CHN,CNY,China,14.65,6.445,2.273079907,4382.136,2.879169911,0.03323,-0.24199,-0.04959,-0.02054,0
7/1/2011,COL,COP,Colombia,8400,1770.5,4.74442248,6273.372,2.986768478,1.07889,0.52514,0.91224,0.97071,1.01203
7/1/2011,CZE,CZK,Czech Republic,69.32,17.0219,4.072400848,18288.284,3.6703359,0.45209,0.0653,0.33569,0.37653,0.40539
7/1/2011,DNK,DKK,Denmark,28.5,5.19845,5.482403409,56147.143,5.824249523,0.23191,-0.09623,0.13316,0.16781,0.19229
7/1/2011,EGY,EGP,Egypt,14.09,5.962,2.363300906,2788.829,2.788521493,0.10916,-0.18628,0.02025,0.05144,0.07349
7/1/2011,EUZ,EUR,Euro area,3.437660401,0.697520315,4.928401836,36947,4.73189094,0.36308,0,0.25381,0.29215,0.31924
7/1/2011,HKG,HKD,Hong Kong,15.1,7.7918,1.937934752,31590.681,4.427152531,-0.42712,-0.57972,-0.47304,-0.45693,-0.44554
7/1/2011,HUN,HUF,Hungary,760,188.0724,4.040996978,12879.296,3.36260098,0.57276,0.15383,0.44669,0.49092,0.52218
7/1/2011,IND,INR,India,84,44.4,1.891891892,1264.839,2.701816745,-0.08359,-0.32769,-0.15705,-0.13128,-0.11306
7/1/2011,IDN,IDR,Indonesia,22534,8523,2.643904728,3015.374,2.801410375,0.23515,-0.09386,0.13614,0.17087,0.19542
7/1/2011,ISR,ILS,Israel,15.9,3.40335,4.671867425,28685.616,4.261873934,0.43463,0.05249,0.31963,0.35998,0.38849
7/1/2011,JPN,JPY,Japan,320,78.365,4.083455624,42820.392,5.066047314,0.05489,-0.2261,-0.02967,0,0.02097
7/1/2011,MYS,MYR,Malaysia,7.2,2.973,2.421796165,8423.176,3.10907782,0.01942,-0.25212,-0.06229,-0.03362,-0.01336
7/1/2011,MEX,MXN,Mexico,32,11.67075,2.741897479,9565.962,3.174094632,0.13053,-0.17061,0.0399,0.0717,0.09417
7/1/2011,NZL,NZD,New Zealand,5.1,1.156069364,4.411500001,32145.233,4.458702798,0.29487,-0.05004,0.19108,0.22749,0.25323
7/1/2011,NOR,NOK,Norway,45,5.41405,8.311707502,84443.634,7.43412893,0.46322,0.07347,0.34593,0.38708,0.41616
7/1/2011,PAK,PKR,Pakistan,205.13,86.345,2.375702125,1049.749,2.689579576,0.156,-0.15192,0.06333,0.09584,0.11882
7/1/2011,PER,PEN,Peru,10,2.7375,3.652968037,5171.651,2.924087987,0.63495,0.19946,0.50389,0.54988,0.58237
7/1/2011,PHL,PHP,Philippines,118,42.41,2.78236265,2007.362,2.744061294,0.32699,-0.02647,0.22062,0.25794,0.28432
7/1/2011,POL,PLN,Poland,8.63,2.7968,3.085669336,12300.126,3.329650115,0.21283,-0.11023,0.11561,0.14972,0.17383
7/1/2011,RUS,RUB,Russia,75,27.7525,2.702459238,10437.49,3.223678695,0.09713,-0.19511,0.00918,0.04004,0.06184
7/1/2011,SAU,SAR,Saudi Arabia,10,3.7502,2.666524452,16995.78,3.596801143,-0.02976,-0.2882,-0.10754,-0.08025,-0.06097
7/1/2011,SGP,SGD,Singapore,4.41,1.20705,3.653535479,43116.689,5.082904614,-0.0593,-0.30987,-0.13471,-0.10825,-0.08955
7/1/2011,ZAF,ZAR,South Africa,19.45,6.76885,2.873457087,7157.801,3.03708652,0.23822,-0.0916,0.13896,0.17379,0.1984
7/1/2011,KOR,KRW,South Korea,3700,1056.2,3.503124408,20590.962,3.801342741,0.20606,-0.1152,0.10938,0.1433,0.16727
7/1/2011,SWE,SEK,Sweden,48.4,6.3352,7.639853517,48874.608,5.410491353,0.84798,0.35574,0.69985,0.75182,0.78855
7/1/2011,CHE,CHF,Switzerland,6.5,0.80615,8.063015568,67245.997,6.455699426,0.63457,0.19918,0.50354,0.54951,0.582
7/1/2011,TWN,TWD,Taiwan,75,28.834,2.601095928,18457.752,3.679977485,-0.07496,-0.32136,-0.14911,-0.12309,-0.10471
7/1/2011,THA,THB,Thailand,70,29.75,2.352941176,4991.525,2.913840033,0.0568,-0.22469,-0.02791,0.00181,0.02282
7/1/2011,TUR,TRY,Turkey,6.5,1.72285,3.772818295,10398.685,3.221470952,0.53271,0.12445,0.40985,0.45296,0.48342
7/1/2011,USA,USD,United States,4.065,1,4.065,47283.633,5.319975611,0,-0.26637,-0.08016,-0.05203,-0.03216
1/1/2012,ARG,ARS,Argentina,20,4.3135,4.636606004,9138.177,2.994189696,0.75552,0.49594,0.71806,0.69432,0.76178
1/1/2012,AUS,AUD,Australia,4.8,0.972337012,4.93656,55589.549,5.142346222,0.0883,-0.07262,0.06508,0.05036,0.09218
1/1/2012,BRA,BRL,Brazil,10.25,1.805,5.67867036,10816.487,3.071803606,1.09574,0.78585,1.05103,1.02269,1.10322
1/1/2012,GBR,GBP,Britain,2.49,0.651253663,3.823395002,36119.846,4.24196443,0.0218,-0.12929,0,-0.01382,0.02545
1/1/2012,CAN,CAD,Canada,4.73,1.02095,4.632939909,46214.914,4.708813638,0.1154,-0.04953,0.0916,0.07652,0.11938
1/1/2012,CHL,CLP,Chile,2050,506.05,4.050983104,11827.958,3.118579361,0.47261,0.25486,0.44119,0.42128,0.47787
